,,,,,,,,
"083 Sitio Lubigan Plaza Aldea, Tanay Rizal / Victoria Sports Tower   Contact: 09175179996
Email: lanrossconsumergoodstrading@gmail.com ",,,,,,,,
QUOTATION REQUEST,,,,,,,,
To:,,Cetrade Office and Medical Supplies,,,,PI No.:2531,,
E- mail:,,,,,,Issuing Date: 30/5/2025,,
Contact Number,,,,,,Term of Payment:T/T,,
Address:,,,,,,Delivery place: Victoria Sports Tower,,
Department:,,GSD-SCIENCE LAB,,,,,,
Item,Qty,Unit,,Brand,Description,Unit Price,Qty,Total Price
No.,,,,,,,,
,500,ml,,LabChem,Concentrated Hydrochloric Acid 500ml,8500,1,8500
,50,ml,,Bendonsen,Sodium nitrate solution 500g,2500,1,2500
,50,ml,,High Purity,Potassium nitrate solution 1kg,1600,1,1600
,50,ml,,High Purity,Calcium nitrate solution 1kg,1750,1,1750
,50,ml,,Bendonsen,Nickle nitrate solution 500g,4700,1,4700
,50,ml,,Maklin,"Cobalt nitrate solution; 5 g solid
",3950,1,3950
,50,ml,,Bendonsen,Iron nitrate solution 500g,2500,1,2500
,50,ml,,Codow,"Lead nitrate solution 500ml

",2900,1,2900
,10,gram,,High Purity,"Iron fillings 20g
",350,1,350
,10,gram,,N/A,Mercury metal,1300,1,1300
,10,gram,,AR,Sulfur powder 200g,550,1,550
,10,gram,,High Purity,Iodine cratals/ Iodine crystals 50g,1990,1,1990
,100,gram,,Raw Cane,Sugar,170,1,170
,100,gram,,Bendonsen,Starch 500g,2900,1,2900
,100,gram,,High Purity,Flour 500g,250,1,250
,100,gram,,Elon's,Sand 1kg,180,1,180
,10,,,N/A,"Copper wire 4 inches
",750,1,750
,10,pcs,,N/A,Sandpaper,35,10,350
,50,ml,,TLS,Ethanol 95%,540,1,540
,10,,,N/A,"Magnesium ribbon 4 inches
",350,1,350
,10,pcs,,Kwality,Mossy zinc 500g,2100,1,2100
,10,ml,,Codow,1M Calcium chloride solution,2990,1,2990
,10,ml,,Huasheng,1M Sodium carbonate solution 500ml,1800,1,1800
,500,ml,,Mc Cormick,"Food color solution-yellow,red,blue,green,orange",150,4,600
,10,pcs,,N/A,Polystyrene drinking cup,10,10,100
,500,ml,,AR,Propanone 250ml,350,2,700
,100,ml,,Chemie,Glycerin 120ml,450,1,450
,500,ml,,Lakanto,Simple syrup 500ml,5950,1,5950
,300,gram,,Xilong GR,Sodium chloride 500g,1800,1,1800
,300,gram,,High Purity,Methyl salicylate 500ml,900,1,900
,300,gram,,Chem Supply,Glucose 500g,2800,1,2800
,50,gram,,Alcori,Atropine sulfate 10g,750,5,3750
,300,gram,,Dalkem,Lactose 250g,500,1,500
,20,ml,,Bendonsen,Clove oil 100ml,2500,1,2500
,50,gram,,Ritemed,Clonidine 75mcg,35,1,35
,20,gram,,High Purity,"Microcrystalline cellulose
",2500,1,2500
,50,gram,,HuaSheng,Aspirin powder 250g,2500,1,2500
,300,gram,,High Purity,Acetaminophen powder 500g,4500,1,4500
,300,gram,,Dalkem,Pregelatinized starch 500g,1950,1,1950
