,,,,,,,,
"083 Sitio Lubigan Plaza Aldea, Tanay Rizal / Victoria Sports Tower   Contact: 09175179996
Email: lanrossconsumergoodstrading@gmail.com ",,,,,,,,
QUOTATION REQUEST,,,,,,,,
To:,,Patmo SPharma,,,,PI No.:2552,,
E- mail:,,,,,,Issuing Date: 08/17/2025,,
,,,,,,Term of Payment:T/T,,
Contact Number,,,,,,Delivery place: Victoria Sports Tower,,
Department:,,,,,,,,
Item,Qty,,,,Description,Unit Price,Qty,Total Price
No.,,,Picture,Brand,,,,
1,200,kit,,Indoplas,SARS COV 2 Rapid Antigen Test combo w/ Influena A and B/ Idenovirus/ RSV (6IN1),450,200,90000
2,950,kit,,SD BIOSENSOR,"Dengue Duo ( NS1, IgM & IgG) 10's",4900,95,465500
3,1200,kit,,Rapiquick,Syphilis Treponema Pallidum 50's,2700,24,64800
4,1100,vials,,Bevac,Hepatitis B recombinant 10mcg/0.5 ,750,1,750
5,3,box,,Balance Measurement,Calibration Kit 1,2900,1,2900
,,,,,Total,623950,,
Sign by:Samantha Fajanilan,,,,,,,,
